,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set boss items as tier 6,,,Range,Factor,,Cost,Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,,,0,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,,,,,,,,,,,,,Average level ups required to equip items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two-handed weapon factor,,,1,1.3,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,3,6,11,18,124,33,14,,,,,,,,,,,,,,4.0,3.9,3.8,3.9,3.7,3.8,3.9,3.8,3.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,2,1.5,,2,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Stagger per item tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,1.6,,3,-5,,,,,,,,,,,,,,,,,,,,,,Base,,,,Tier 1,,,,Tier 2,,,,Tier 3,,,,,,,,,,,,,,,,,,,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,,,,Knight,Warrior,Assassin,Mercenary,Pyromancer,Sorcerer,Cleric,Herald,Thief,Deprived,,Levels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tier,Action 1,Action 2,Action 3,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiple dice multiplier,Dice Score Multiplier,,4,1.6,,4,-7,,,,,,Custom Item Count,,,,,,,,,,,,Class,Tier,Base Score,Custom Score,Str,Dex,Int,Fth,Str,Dex,Int,Fth,Str,Dex,Int,Fth,Str,Dex,Int,Fth,"Item
Count",,,,,,,,,,,,,,,,,0,0,Amount of items that can be equipped after spending X souls in linear leveling,,,,,,,,,,,Amount of items that can be equipped after leveling X times,,,,,,,,,,,,,,Amount of items that can be equipped after leveling for X souls,,,,,,,,,,,Base,Tier 1,Tier 2,Tier 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,,5,1.6,,5,-10,,,,,,35,,,,,,,,,,,,Knight,10,391,391,13,12,9,9,21,19,15,15,30,29,23,23,40,38,31,31,367,,,,,,,,,,,,,,,,,1,2,28,30,31,29,21,24,30,25,28,34,0,60,59,62,65,69,68,61,65,60,59,,,,2,28,30,31,29,21,24,30,25,28,34,,43,70,105,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,6,-15,,,,,,,,,,,,,,,,,,Warrior,9,468,468,16,9,8,9,23,16,15,16,32,25,23,25,40,35,30,35,368,,,,,,,,,,,,,,,,,2,5,42,48,34,33,47,47,36,45,38,73,1,28,30,31,29,21,24,30,25,28,34,,,,4,14,15,13,10,7,17,10,14,19,40,,42,70,105,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die,Score,Min,Max,,,,,,,,,,,,,,,,,,,,,,Assassin,8,367,367,10,14,11,9,16,22,18,14,25,31,27,22,34,40,36,30,355,,,,,,,,,,,,,,,,,3,9,63,65,69,67,60,60,65,72,70,65,2,42,48,34,33,47,47,36,45,38,73,,,,6,29,35,23,25,40,30,26,31,21,35,,44,70,105,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLK,1.17,0,2,3.2,Item Req,Tier,,Item Count,%,,,,,,,,,,,,,,,,Mercenary,7,464,464,10,16,10,8,17,22,17,14,26,32,26,21,35,40,35,30,363,,,,,,,,,,,,,,,,,4,14,64,68,65,71,57,46,71,62,65,93,3,63,65,69,67,60,60,65,72,70,65,,,,8,31,31,35,32,33,32,35,34,36,43,,44,70,105,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLU,1.83,1,3,5.8,Starting Item,0,,35,9%,,,,,,,,,,,,,,,,Pyromancer,6,617,569,12,9,14,14,17,13,21,19,26,20,31,28,35,27,40,38,328,,,,,,,,,,,,,,,,,5,20,67,56,59,59,38,55,48,46,58,35,4,64,68,65,71,57,46,71,62,65,93,,,,10,3,4,2,3,0,1,5,3,4,9,,49,70,105,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORA,2.50,1,4,7.5,0,1,,62,16%,,,,,,,,,,,,,,,,Sorcerer,5,610,480,7,12,16,7,14,18,23,15,22,27,32,24,31,36,40,33,337,,,,,,,,,,,,,,,,,6,27,23,28,20,23,24,27,29,28,21,24,5,67,56,59,59,38,55,48,46,58,35,,,,12,42,46,45,49,36,26,40,40,43,60,,42,70,105,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,2,,85,22%,,,,,,,,,,,,,,,,Cleric,4,533,533,12,11,8,13,19,17,12,22,28,26,20,31,37,34,29,40,354,,,,,,,,,,,,,,,,,7,35,12,7,15,15,9,6,9,8,16,11,6,23,28,20,23,24,27,29,28,21,24,,,,14,36,35,37,36,30,32,35,42,34,26,,44,70,105,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push Poise Damage value,Stagger,,,,25,3,,55,15%,,,,,,,,,,,,,,,,Herald,3,519,519,12,8,7,16,18,15,14,23,27,24,22,32,37,33,30,40,355,,,,,,,,,,,,,,,,,8,44,8,6,3,3,6,6,5,5,3,1,7,12,7,15,15,9,6,9,8,16,11,,,,16,22,21,20,20,22,20,28,20,21,22,,43,70,105,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,30,4,,94,25%,,,,,,,,,,,,,,,,Thief,2,587,587,9,13,10,8,16,21,18,15,24,31,27,23,33,40,36,31,356,,,,,,,,,,,,,,,,,9,54,1,2,0,1,0,0,0,0,0,0,8,8,6,3,3,6,6,5,5,3,1,,,,18,4,5,4,6,2,4,4,3,4,8,,40,70,105,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stagger Damage Threshold,,,,,35,5,,47,12%,,,,,,,,,,,,,,,,Deprived,1,232,278,10,10,10,10,20,20,20,20,30,30,30,30,40,40,40,40,392,,,,,,,,,,,,,,,,,10,65,0,0,0,0,0,0,0,0,0,0,9,1,2,0,1,0,0,0,0,0,0,,,,20,61,55,54,57,37,52,46,46,55,32,,40,80,120,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,Boss item,6,,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,369,358,366,331,339,354,356,359,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemy Poise Armor,0,,,,,,,,,,,1,2,,,,,146,95,97,95,,,Starting Item,,,Custom Starting Item,,,,,Attributes,,,,,,5,Stagger Potential,,,Poise Damage,,,With Armor,,,,,,,,,,,,,,,,,,,Linear leveling - Souls needed to equip an item,,,,,,,,,,,Linear leveling - Levels needed to equip an item,,,,,,,,,,,,,,Base leveling - Souls needed to equip an item,,,,,,,,,,,2,1.2,1,3,1,1,1,,,,,,,1,,1,,,,,,1.2,1.5,5,5,5,1,1,2,3,-2,1,1,,1,,,,,,1.2,1.5,5,5,5,1,1,2,3,-2,1,1,,1,,,,,,1.2,1.5,5,5,5,1,1,2,3,-2,1,,Defence,,,,,,,,,,,,Action 1,,,,,,,,,,,,,,,,,,,Action 2,,,,,,,,,,,,,,,,,,,Action 3,,,,,,,,,,,,,,,,,,,Extras,,
Name,Power Score,Tier,Value Score (linear lvl),Value Score (linear cost lvl),"Value Score
(atttribute sum)",Value Score (base cost lvl),Unique,Expansion,Type,Source,2nd Expansion,Type,Source,3rd Expansion,Type,Source,Any Core Set,Core,Painted World,Tomb of Giants,Sunless City,,Base Any,Base Item,Class,Threat,Custom Base,Class,Threat,Type,2H,SUM,MAX,Str,Dex,Int,Fth,Stagger Score,Attack 1 Stagger,Attack 2 Stagger,Attack 3 Stagger,1 Poise Damage,2 Poise Damage,3 Poise Damage,Attack 1 Stagger,Attack 2 Stagger,Attack 3 Stagger,1 Poise Damage,2 Poise Damage,3 Poise Damage,Status Effect,Mag,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,,10,9,8,7,6,5,4,3,2,1,,10,9,8,7,6,5,4,3,2,1,Min,Max,Avg,,10,9,8,7,6,5,4,3,2,1,,Defense Score,Defense Physical,Defense Magical,Dodge,Slots,Buff,Debuff,Block,Block,Mod,Resist,Resist,Mod,Action 1 Score,Range,Cost,Die,Die,Die,Die,Mod,Mag,Node Attack,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,Action 2 Score,Range,Cost,Die,Die,Die,Die,Mod,Mag,Node Attack,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,Action 3 Score,Range,Cost,Die,Die,Die,Die,Mod,Mag,Node Attack,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,Block,Block,Mod,Resist,Resist,Mod,Dodge,Slots,Slots Num,Buff,Debuff,,Range,Cost,Die,Die,Die,Die,Mod,Mag,Node Attack,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,Range,Cost,Die,Die,Die,Die,Mod,Mag,Node Attack,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,Range,Cost,Die,Die,Die,Die,Mod,Mag,Node Attack,Bleed,Poison,Frost,Stagger,Push,Move,Buff,Shaft,Repeat Action,,Use w/ 2H,Description,Has duplicate
Dragon King Greataxe,1025,4,171,76,155,73,TRUE,Gaping Dragon,Mega Boss,Gaping Dragon,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,FALSE,,0,Weapon,TRUE,66,33,33,33,0,0,55,3,4,0,9,13,0,3,4,,9,13,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,27,27,27,27,-99,-99,27,27,27,27,,6,6,6,6,-96,-96,6,6,6,6,6,6,6.0,,28,28,28,28,-85,-85,28,28,28,28,,25.4,4.2,7.5,0.0,1,0,0,3.5,0.0,0.0,7.5,0.0,0,21.5,1,-1,7.5,7.5,0.0,0.0,0,1,1.5,0,0,0,0,0,0,0,0,1,50.1,1.3,-10,7.5,0.0,0.0,0.0,0,1.2,1,0,0,0,1,0,0,30,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,ORA,,,,🔺,1,,,,,1◼️,ORA,ORA,,,,,TRUE,,,,,,,,,,,1📏,5◼️,ORA,,,,,⚡,,,,,TRUE,,,10,,,,,,,,,,,,,,,,,,,,,,,,ACTION 2: Hits all enemies within range 1,
Obsidian Greatsword,992,4,165,73,150,71,FALSE,Kalameet,Mega Boss,Black Dragon Kalameet,Sunless City,Legendary,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,,0,FALSE,,0,Weapon,TRUE,66,33,33,0,0,33,50,3,3,0,9,11,0,3,3,,9,11,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,-99,27,-99,-99,27,-99,27,27,-99,27,,-96,6,-96,-96,6,-96,6,6,-96,6,6,6,6.0,,-85,28,-85,-85,28,-85,28,28,-85,28,,26.2,6.6,5.5,0.0,1,0,0,5.5,0.0,0.0,5.5,0.0,0,14.0,1,-1,7.5,7.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,54.0,1.3,-10,5.5,5.5,0.0,0.0,0,1.2,1,0,0,0,0,0,0,30,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLU,,,BLU,,,,🔺,1,,,,,1◼️,ORA,ORA,,,,,,,,,,,,,,,,1📏,5◼️,BLU,BLU,,,,⚡,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,ACTION 2: Hits all enemies within range 1,
Aged Smelter Sword,941,4,157,70,143,67,TRUE,Iron Keep,Main Boss,Smelter Demon,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,0,,,0,Weapon,TRUE,66,33,33,0,33,0,68,3,5,0,11,16,0,3,5,,11,16,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,-99,-99,27,27,27,-99,-99,-99,27,27,,-96,-96,6,6,6,-96,-96,-96,6,6,6,6,6.0,,-85,-85,28,28,28,-85,-85,-85,28,28,,27.4,4.2,5.5,0.0,4,0,0,3.5,0.0,0.0,5.5,0.0,0,22.0,1.3,-3,3.5,3.5,3.5,5.5,0,1.2,1,0,0,0,0,0,0,0,0,1,38.0,1.3,-10,5.5,7.5,7.5,0.0,0,1.2,1.5,0,0,0,0,0,0,0,0,1,0.0,1,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,,BLK,,,BLU,,,,🔺🔺,2,,,,1📏,2◼️,BLK,BLK,BLK,BLU,,⚡,,,,,,,,,,,,1📏,5◼️,BLU,ORA,ORA,,,⚡,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
